id,symbol,type,entry_time,entry_price,sl,tp,entry_index,exit_price,exit_time,pnl_pips,comment
32,EURUSD,SELL,2025-01-13 11:15:00,1.02174,1.02206,1.0213560000000002,14191,1.0213560000000002,2025-01-13 11:20:00,38.399999999993994,TP Hit
33,EURUSD,BUY,2025-01-13 22:45:00,1.02153,1.02112,1.022022,14329,1.022022,2025-01-13 23:20:00,49.199999999993686,TP Hit
34,EURUSD,BUY,2025-01-14 08:30:00,1.02495,1.02471,1.025238,14446,1.02471,2025-01-14 08:40:00,-24.000000000001794,SL Hit
35,EURUSD,BUY,2025-01-14 08:55:00,1.02524,1.02456,1.0260559999999999,14451,1.0260559999999999,2025-01-14 09:00:00,81.59999999999279,TP Hit
36,EURUSD,BUY,2025-01-14 13:05:00,1.02603,1.0256,1.026546,14501,1.0256,2025-01-14 13:15:00,-42.999999999993044,SL Hit
37,EURUSD,BUY,2025-01-14 13:45:00,1.02602,1.02568,1.026428,14509,1.02568,2025-01-14 13:50:00,-34.000000000000696,SL Hit
38,EURUSD,BUY,2025-01-15 01:10:00,1.03076,1.03052,1.0310479999999997,14646,1.03052,2025-01-15 01:25:00,-23.99999999997959,SL Hit
39,EURUSD,SELL,2025-01-15 03:05:00,1.03012,1.03047,1.0296999999999998,14669,1.02999,2025-01-15 03:55:00,12.999999999996346,Time Stop
40,EURUSD,SELL,2025-01-15 05:15:00,1.02984,1.03007,1.0295640000000001,14695,1.03007,2025-01-15 05:25:00,-22.999999999995243,SL Hit
41,EURUSD,BUY,2025-01-15 07:10:00,1.03011,1.0299,1.0303620000000002,14718,1.0303620000000002,2025-01-15 07:20:00,25.200000000014096,TP Hit
42,EURUSD,BUY,2025-01-15 07:45:00,1.03009,1.03002,1.030174,14725,1.03002,2025-01-15 07:50:00,-7.000000000001449,SL Hit
43,EURUSD,SELL,2025-01-15 14:40:00,1.03018,1.03049,1.0298080000000003,14808,1.0298080000000003,2025-01-15 14:45:00,37.19999999998169,TP Hit
44,EURUSD,BUY,2025-01-16 02:50:00,1.02946,1.02877,1.030288,14954,1.02973,2025-01-16 03:40:00,26.999999999999243,Time Stop
45,EURUSD,BUY,2025-01-16 11:30:00,1.02947,1.02921,1.0297820000000002,15058,1.02921,2025-01-16 11:35:00,-26.000000000014897,SL Hit
46,EURUSD,SELL,2025-01-16 13:35:00,1.02863,1.02891,1.0282939999999998,15083,1.02891,2025-01-16 13:45:00,-28.000000000005794,SL Hit
47,EURUSD,SELL,2025-01-16 16:20:00,1.0273,1.02765,1.0268800000000002,15116,1.0268800000000002,2025-01-16 16:30:00,41.99999999998649,TP Hit
48,EURUSD,BUY,2025-01-17 01:45:00,1.03018,1.03009,1.0302880000000003,15229,1.03009,2025-01-17 01:50:00,-9.000000000014552,SL Hit
49,EURUSD,BUY,2025-01-17 02:30:00,1.03027,1.03008,1.030498,15238,1.030498,2025-01-17 02:40:00,22.799999999989492,TP Hit
