id,symbol,type,entry_time,entry_price,sl,tp,entry_index,exit_price,exit_time,pnl_pips,comment
1,USDJPY,BUY,2025-01-02 22:55:00,157.627,157.596,157.67350000000002,12361,157.596,2025-01-02 23:00:00,-31.00000000000591,SL Hit
2,USDJPY,SELL,2025-01-03 04:25:00,157.306,157.334,157.264,12427,157.334,2025-01-03 04:35:00,-27.999999999991587,SL Hit
3,USDJPY,SELL,2025-01-03 04:40:00,157.292,157.345,157.2125,12430,157.345,2025-01-03 05:25:00,-52.99999999999727,SL Hit
4,USDJPY,SELL,2025-01-03 06:45:00,157.331,157.345,157.30999999999997,12455,157.30999999999997,2025-01-03 06:50:00,21.000000000015007,TP Hit
5,USDJPY,SELL,2025-01-03 07:20:00,157.308,157.348,157.24799999999996,12462,157.24799999999996,2025-01-03 08:05:00,60.000000000030695,TP Hit
6,USDJPY,SELL,2025-01-03 12:00:00,157.213,157.25,157.15749999999997,12518,157.25,2025-01-03 12:10:00,-37.00000000000614,SL Hit
7,USDJPY,SELL,2025-01-03 12:20:00,157.224,157.237,157.2045,12522,157.237,2025-01-03 12:25:00,-13.00000000000523,SL Hit
8,USDJPY,BUY,2025-01-06 06:20:00,157.718,157.69,157.76,12738,157.69,2025-01-06 06:40:00,-27.999999999991587,SL Hit
9,USDJPY,BUY,2025-01-06 07:10:00,157.756,157.705,157.83249999999998,12748,157.738,2025-01-06 08:00:00,-18.000000000000682,Time Stop
10,USDJPY,BUY,2025-01-06 11:35:00,157.694,157.663,157.74049999999994,12801,157.74049999999994,2025-01-06 11:50:00,46.499999999952024,TP Hit
11,USDJPY,BUY,2025-01-06 22:10:00,157.524,157.508,157.548,12928,157.548,2025-01-06 22:15:00,24.00000000000091,TP Hit
12,USDJPY,BUY,2025-01-09 21:30:00,158.095,158.082,158.11450000000002,13739,158.11450000000002,2025-01-09 21:50:00,19.500000000022055,TP Hit
13,USDJPY,BUY,2025-01-09 22:25:00,158.098,158.096,158.10100000000003,13750,158.10100000000003,2025-01-09 22:30:00,3.0000000000143245,TP Hit
14,USDJPY,BUY,2025-01-09 22:45:00,158.122,158.084,158.17900000000003,13754,158.084,2025-01-09 23:25:00,-38.000000000010914,SL Hit
15,USDJPY,BUY,2025-01-09 23:30:00,158.108,158.083,158.14550000000003,13763,158.14550000000003,2025-01-09 23:45:00,37.50000000002274,TP Hit
16,USDJPY,BUY,2025-01-10 22:15:00,157.872,157.851,157.90350000000004,14036,157.851,2025-01-10 22:20:00,-21.000000000015007,SL Hit
